Product Name,Price
"MSI Modern 15 B13M Core i7 13th Gen 15.6"" FHD Laptop",105500
"ASUS VivoBook 15X K3504ZA Core i7 12th Gen 15.6"" FHD WV Laptop",105500
"HP 15-fd1119TU Core 7 15.6"" FHD Laptop",106500
"HP 15-fd0211TU Core i7 13th Gen 15.6"" FHD Laptop",107500
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Silver #MLXY3LL/A / MLXY3ZP/A,108000
"Lenovo IdeaPad Light 5 14ABR8 Ryzen 5 7530U 14"" FHD Laptop",108000
"HP ProBook 440 G9 Core i7 12th Gen 14"" FHD Laptop",109500
"Asus TUF Gaming A15 FA506NCR Ryzen 7 7435HS RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop",109500
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Starlight #MLY13LL/A / MLY13ZP/A,110000
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Midnight #MLY33LL/A / MLY33ZP/A,110000
"ASUS Vivobook 16X K3605ZF Core I5 12th Gen RTX 2050 Graphics 16"" WUXGA Display Laptop",111000
"Lenovo IdeaPad Flex 5 14IRU8 Core i5 13th Gen 14"" WUXGA Touch Laptop",112000
"Lenovo IdeaPad Flex 5 14IRU8 Core i5 13th Gen 14"" WUXGA Touch Laptop Abyss Blue",112000
"ASUS ExpertBook B5 B5302CEA-EG0476W Core i5 11th Gen 13.3"" FHD Laptop",112000
"MSI Cyborg 15 A13UDX Core i5 13th Gen RTX 3050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",112000
"HP 15-fd1136TU Core Ultra 7 15.6"" FHD Laptop",112500
"HP 15-fd1135TU Core Ultra 7 15.6"" FHD Laptop",112500
"ASUS ExpertBook B5 B5402CEA-KC0291N Core i5 11th Gen 14"" Laptop",113000
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop",117000
"Lenovo IdeaPad Flex 5 14IRU8 Core i5 13th Gen 1TB SSD 14"" WUXGA Touch Laptop",117000
"ASUS TUF Gaming F15 FX507ZC4 Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop",117500
"HP ProBook 440 G10 Core i7 13th Gen 14"" FHD Laptop",118000
Apple MacBook Air (2022) M2 Chip 13.6-Inch Liquid Retina Display 16GB RAM 256GB SSD Midnight #MC7X4ZP/A,118000
Apple MacBook Air M2 Chip 13.6-Inch Liquid Retina Display 16GB RAM 256GB SSD Space Gray#MC7U4ZP/A,118000
"Asus Vivobook 15X K3504VA Core i7 13th Gen 16GB RAM 15.6"" FHD Laptop",119000
"Acer Nitro V 15 ANV15-51 Core i5 13th Gen RTX 4050 6GB GDDR6 15.6"" FHD IPS Gaming Laptop",119900
"ASUS ExpertBook B5 B5302FEA-LF1125 Core i5 11th Gen 13.3"" FHD Touch Laptop",120000
"Lenovo IdeaPad 5 2-in-1 14IRU9 Core 5-120U 14"" WUXGA Touch Laptop",120000
"Acer Nitro V 15 ANV15-51-562G Core i5 13th Gen RTX 3050 6GB GDDR6 15.6"" FHD IPS Gaming Laptop",123500
"ASUS VivoBook S 14 Flip TP3402VA Core i5 13th Gen 14"" WUXGA Touch Laptop",124000
"Asus Vivobook 15X OLED K3504VA Core i7 13th Gen 15.6"" 2.8K Laptop",124000
"Acer Swift Go 14 SFG14-73 Core Ultra 5 125H 16GB RAM 512GB SSD 14"" WQXGA+ OLED Laptop",124000
"Acer Swift Go 14 SFG14-73T Core Ultra 5 125H 16GB RAM 512GB SSD 14"" WUXGA IPS Touch Laptop",124000
"ASUS TUF Gaming F15 FX506HE Core i5 11th Gen RTX 3050 Ti 4GB Graphics 15.6"" FHD Gaming Laptop",124900
Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 8GB RAM 256GB SSD Midnight #MRXV3ZP/A,125000
Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 8GB RAM 256GB SSD Silver #MRXQ3LL/A,125000
Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 8GB RAM 256GB SSD Space Gray #MRXN3LL/A,125000
"Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 8GB RAM 256GB SSD Starlight #MRXT3LL/A, MRXT3ZP/A",125000
"Lenovo IdeaPad Slim 5 16IMH9 Core Ultra 5 125H AI Integrated 16"" WUXGA Laptop",125000
"ASUS Vivobook Pro 15 M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop",127900
"Lenovo IdeaPad Flex 5i Core i7 12th Gen 14"" 360° WUXGA Touch Laptop",130000
"Lenovo IdeaPad Flex 5 14IAU7 Core i7 12th Gen 14"" WUXGA Touch Laptop",130000
"Lenovo IdeaPad Pro 5 16IRH8 Core i5 13th Gen RTX 3050 6GB Graphics 16"" 2.5K 120Hz Military Grade Laptop",130000
"MSI Thin 15 B13VE Core i5 13th Gen RTX 4050 6GB Graphics 15.6"" FHD Gaming Laptop",131900
"ASUS Vivobook Pro 15 OLED M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop with Windows 11",133900
"MSI Prestige 14 AI Evo C1MG Core Ultra 5 125H 14"" FHD+ Laptop",133900
"Lenovo IdeaPad Gaming 3i 16IAH7 Core i7 12th Gen RTX 3050 4GB Graphics 16"" 2K WUXGA Laptop",135000
"Lenovo IdeaPad Flex 5 14IRU8 Core i7 13th Gen 14"" WUXGA Touch Laptop",135000
"Lenovo Yoga 7 2-in-1 14AHP9 Ryzen 7 8840HS AI Integrated 14"" Touch Laptop",135000
"Lenovo LOQ 15IAX9 Core i5 12th Gen RTX 4050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",135000
"Lenovo IdeaPad Slim 5 16IMH9 Core Ultra 7 155H AI Integrated 16"" WUXGA Laptop",137000
"Lenovo IdeaPad Slim 5i 15IAL7 Core i7 12th Gen MX550 2GB Graphics 15.6"" FHD Military Grade Laptop",138000
"Gigabyte G5 MF5 Core i7 13th Gen RTX 4050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",138000
"Acer Nitro V 15 ANV15-51 Core i7 13th Gen RTX 4050 6GB GDDR6 15.6"" FHD Gaming Laptop",139900
Lenovo ThinkPad P14s Gen 2 Core i5 Business Laptop with T500 Graphics Card,140000
"Lenovo Yoga 7 14IRL8 Core i5 13th Gen 14"" WUXGA OLED Military Grade Touch Laptop",140000
"Lenovo IdeaPad Flex 5 14IRU8 Core i7 13th Gen 1TB SSD 14"" WUXGA Touch Laptop",140000
"Acer Swift Go 14 SFG14-73T Core Ultra 7 155H 16GB RAM 1TB SSD 14"" WUXGA Touch Laptop",141000
"Asus Vivobook S 16 Flip OLED TP3604VA Core i5 13th Gen 16"" 3.2K OLED Touch Laptop",142000
"HP Victus Gaming 15-fa1251TX Core i7 13th Gen RTX 3050 6GB Graphics 15.6"" FHD Gaming Laptop",143500
"Lenovo IdeaPad 5 2-in-1 14IRU9 Core 7-150U 14"" WUXGA Touch Laptop",145000
Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 16GB RAM 256GB SSD Midnight #MC8K4ZP/A,145000
"Acer Swift Go 14 SFG14-73 Core Ultra 7 155H 16GB RAM 1TB SSD 14"" WQXGA+ OLED Laptop",145000
Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 16GB RAM 256GB SSD Space Grey #MC8G4,145000
